competition,date,weight,contest_code,winner,white,blue,country_white,country_blue,time_seconds,technique,score_type,tag_group,is_ippon
Qingdao Grand Prix 2026,2026-06-26,100,gp_chn2026_0001_m_p100_0011,TERESINSKI Grzegorz,TERESINSKI Grzegorz,USUKHBAYAR Perenleijamts,Poland,Mongolia,61.93,Seoi-otoshi,Ippon,33,True
Qingdao Grand Prix 2026,2026-06-26,-48,gp_chn2026_0002_f_0048_0012,AZAK Merve,ESPADINHA Laura,AZAK Merve,France,Türkiye,176.23,Uki-otoshi,Yuko,33,False
Qingdao Grand Prix 2026,2026-06-26,-48,gp_chn2026_0002_f_0048_0012,AZAK Merve,ESPADINHA Laura,AZAK Merve,France,Türkiye,202.48,Ko-uchi-gari,Yuko,29,False
Qingdao Grand Prix 2026,2026-06-26,-63,gp_chn2026_0002_f_0063_0012,SEIKKULA Louna-Lumia,SEIKKULA Louna-Lumia,CABANA PEREZ Cristina,Finland,Spain,87.78,Kata-Guruma,Ippon,33,True
Qingdao Grand Prix 2026,2026-06-26,78,gp_chn2026_0002_f_0p78_0012,IVANOVA Mariia,WOOD Gabriella,IVANOVA Mariia,Trinidad And Tobago,Russian Federation,28.93,Ko-soto-gari,Waza-ari,29,False
Qingdao Grand Prix 2026,2026-06-26,78,gp_chn2026_0002_f_0p78_0012,IVANOVA Mariia,WOOD Gabriella,IVANOVA Mariia,Trinidad And Tobago,Russian Federation,51.0,Tate-shiho-gatame,Waza-ari-awasete-ippon,25,True
Qingdao Grand Prix 2026,2026-06-26,100,gp_chn2026_0001_m_p100_0012,FIZEL Marius,LI Haiyang,FIZEL Marius,People's Republic of China,Slovakia,152.35,O-uchi-gari,Yuko,29,False
Qingdao Grand Prix 2026,2026-06-26,-63,gp_chn2026_0002_f_0063_0013,SZYMANSKA Angelika,SZYMANSKA Angelika,LIU Shuang,Poland,People's Republic of China,77.0,Juji-gatame,Ippon,24,True
Qingdao Grand Prix 2026,2026-06-26,-100,gp_chn2026_0001_m_0100_0013,BRASNJOVIC Darko,VEG Zsombor,BRASNJOVIC Darko,Hungary,Serbia,539.11,Kata-Guruma,Waza-ari,33,False
Qingdao Grand Prix 2026,2026-06-26,-48,gp_chn2026_0002_f_0048_0014,CID BALCELLS Jana,ALIYEVA Konul,CID BALCELLS Jana,Azerbaijan,Spain,158.5,Ko-uchi-gari,Waza-ari,29,False
Qingdao Grand Prix 2026,2026-06-26,-48,gp_chn2026_0002_f_0048_0014,CID BALCELLS Jana,ALIYEVA Konul,CID BALCELLS Jana,Azerbaijan,Spain,233.81,Ko-uchi-gari,Yuko,29,False
Qingdao Grand Prix 2026,2026-06-26,-63,gp_chn2026_0002_f_0063_0014,KIM Jisu,KIM Jisu,KIM Ji Hye,Republic of Korea,Democratic People's Republic of Korea,51.57,O-uchi-gari,Yuko,29,False
Qingdao Grand Prix 2026,2026-06-26,-63,gp_chn2026_0002_f_0063_0014,KIM Jisu,KIM Jisu,KIM Ji Hye,Republic of Korea,Democratic People's Republic of Korea,230.0,Yoko-shiho-gatame,Ippon,25,True
Qingdao Grand Prix 2026,2026-06-26,-70,gp_chn2026_0002_f_0070_0014,MUN Song Hui,NARYNOVA Moldir,MUN Song Hui,Kazakhstan,Democratic People's Republic of Korea,298.34,Sumi-otoshi,Waza-ari,33,False
Qingdao Grand Prix 2026,2026-06-26,-70,gp_chn2026_0002_f_0070_0014,MUN Song Hui,NARYNOVA Moldir,MUN Song Hui,Kazakhstan,Democratic People's Republic of Korea,302.06,Yoko-shiho-gatame,No score,25,False
Qingdao Grand Prix 2026,2026-06-26,78,gp_chn2026_0002_f_0p78_0014,NIGMATOVA Umida,WOJTA Lilli Louise,NIGMATOVA Umida,Germany,Uzbekistan,66.91,Sumi-otoshi,Yuko,33,False
Qingdao Grand Prix 2026,2026-06-26,78,gp_chn2026_0002_f_0p78_0014,NIGMATOVA Umida,WOJTA Lilli Louise,NIGMATOVA Umida,Germany,Uzbekistan,123.01,O-soto-gari,Yuko,29,False
Qingdao Grand Prix 2026,2026-06-26,78,gp_chn2026_0002_f_0p78_0014,NIGMATOVA Umida,WOJTA Lilli Louise,NIGMATOVA Umida,Germany,Uzbekistan,300.02,Sumi-otoshi,Waza-ari,33,False
Qingdao Grand Prix 2026,2026-06-26,-73,gp_chn2026_0001_m_0073_0014,CILOGLU Bilal,CILOGLU Bilal,NYYAZLYYEV Ismayyl,Türkiye,Turkmenistan,279.73,Hikikomi-gaeshi,Yuko,31,False
Qingdao Grand Prix 2026,2026-06-26,-73,gp_chn2026_0001_m_0073_0014,CILOGLU Bilal,CILOGLU Bilal,NYYAZLYYEV Ismayyl,Türkiye,Turkmenistan,325.02,Ippon-seoi-nage,Waza-ari,33,False
Qingdao Grand Prix 2026,2026-06-26,-81,gp_chn2026_0001_m_0081_0014,OYUNCHIMEG Shinebayar,AYHANOV Agajan,OYUNCHIMEG Shinebayar,Turkmenistan,Mongolia,46.8,Seoi-nage,Yuko,33,False
Qingdao Grand Prix 2026,2026-06-26,-81,gp_chn2026_0001_m_0081_0014,OYUNCHIMEG Shinebayar,AYHANOV Agajan,OYUNCHIMEG Shinebayar,Turkmenistan,Mongolia,88.23,Tani-otoshi,No score,35,False
Qingdao Grand Prix 2026,2026-06-26,-81,gp_chn2026_0001_m_0081_0014,OYUNCHIMEG Shinebayar,AYHANOV Agajan,OYUNCHIMEG Shinebayar,Turkmenistan,Mongolia,161.26,Uchi-mata,Ippon,29,True
Qingdao Grand Prix 2026,2026-06-26,-100,gp_chn2026_0001_m_0100_0014,MATASEJE Benjamin,GREGORY Max,MATASEJE Benjamin,Great Britain,Slovakia,463.1,Ko-soto-gari,Yuko,29,False
Qingdao Grand Prix 2026,2026-06-26,-48,gp_chn2026_0002_f_0048_0015,VOROBEVA Marina,VOROBEVA Marina,XIE Mingfen,Russian Federation,People's Republic of China,103.97,Ude-garami,Ippon,24,True
